Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,USG_GROUP,USG_CODE,USG_PRIORI
0,605580,4,1,339.3211,841,605580,0,696821.7025,468772.6479,865613.6155,817088.6675,841,0,220725.4148,632326.6968,0,0,0,0
1,605793,1,1,282.23,852,605793,4710418.7,0,0,0,0,852,1,220441.0133,632171.9151,4,0,0,0
2,605895,1,5,3182.445,845,605895,40341119.11,0,0,0,0,845,2,220433.7948,632066.3935,3,0,0,0
3,605926,1,4,1225.6072,833,605926,11545710.55,0,0,0,0,833,3,220061.3498,632720.5296,5,0,0,0
4,606013,1,1,34.9524,832,606013,641110.9152,0,0,0,0,832,4,219732.4016,632936.4511,0,0,0,0
5,606052,1,4,2205.461,834,606052,20379562.37,0,0,0,0,834,5,220066.6598,632988.2821,5,0,0,0
6,606103,4,3,280.6623,834,606103,0,192120.4641,129245.1403,238658.0225,225279.2263,834,6,220322.5955,632980.9984,5,0,0,0
7,606122,1,4,2705.6178,834,606122,25001261.28,0,0,0,0,834,7,220223.3998,632818.2049,3,0,0,0
8,606502,1,1,57.21,832,606502,1049368.726,0,0,0,0,832,8,219880.3498,632941.4998,4,0,0,0
9,606647,1,3,2834.7072,852,606647,15770421.06,0,0,0,0,852,9,220376.2998,632239.7461,3,0,0,0
10,606760,1,6,3831.9462,841,606760,35182437.75,0,0,0,0,841,10,220736.1498,632449.7954,3,0,0,0
11,606875,1,3,183.075,833,606875,2299519.736,0,0,0,0,833,11,220109.4292,632624.4952,0,0,0,0
12,607025,1,3,100.9851,833,607025,1268426.767,0,0,0,0,833,12,220129.8644,632625.6443,1,0,0,0
13,607050,1,3,2044.4412,853,607050,23177148.4,0,0,0,0,853,13,220503.0573,632358.7068,1,0,0,0
14,607134,3,5,2212.806,853,607134,0,1817666.21,1222798.026,2257961.562,2131383.761,853,14,220182.0448,632467.0299,1,0,0,0
15,607165,1,5,2385.1525,855,607165,27215209.61,0,0,0,0,855,15,220147.8998,632349.5514,4,0,0,0
16,607183,1,2,2086.4366,855,607183,19838986.33,0,0,0,0,855,16,220082.1598,632322.1011,0,0,0,0
17,607194,1,2,38.0784,836,607194,309535.502,0,0,0,0,836,17,220403.9946,632576.2869,3,0,0,0
18,607332,1,5,4323.1165,853,607332,44108757.65,0,0,0,0,853,18,220137.8523,632454.3483,5,0,0,0
19,607459,1,1,175.932983,853,607459,2991740.373,0,0,0,0,853,19,220061.831,632519.7319,5,0,0,0
20,607466,1,6,2463.8499,853,607466,20948883.78,0,0,0,0,853,20,220123.2498,632523.8541,0,0,0,0
21,607512,1,2,185.2786,1021,607512,2293545.334,0,0,0,0,1021,21,219696.8953,632444.825,1,0,0,0
22,607599,1,3,6586.76775,853,607599,74671990.39,0,0,0,0,853,22,219962.4998,632651.4925,1,0,0,0
23,607632,4,2,40.5321,836,607632,0,41617.87599,27997.58082,51699.0214,48800.85497,836,23,220434.4657,632626.8113,3,0,0,0
24,607683,1,2,2067.1072,835,607683,16605588.91,0,0,0,0,835,24,220659.4448,632822.6086,3,0,0,0
25,607837,4,2,82.5529,836,607837,0,84764.33136,57023.48236,105296.8917,99394.11232,836,25,220425.9613,632625.6405,1,0,0,0
26,608025,3,1,63.845,853,608025,0,131110.5663,88201.97065,162869.6279,153739.4108,853,26,219827.6466,632634.6897,2,0,0,0
27,608131,1,1,62.76,836,608131,1020339.516,0,0,0,0,836,27,220207.3772,632771.6275,5,0,0,0
28,608142,1,1,164.26755,841,608142,3016395.612,0,0,0,0,841,28,220728.56,632372.1064,3,0,0,0
29,608155,1,1,97.36,834,608155,3598620.32,0,0,0,0,834,29,220140.1498,632891.7848,3,0,0,0
30,608159,1,1,162.398,834,608159,6002554.876,0,0,0,0,834,30,220091.8967,632882.2961,5,0,0,0
31,608277,1,1,100.9925,834,608277,3732884.785,0,0,0,0,834,31,220123.34,632819.8579,5,0,0,0
32,608515,1,1,165.6,836,608515,5384583.295,0,0,0,0,836,32,220575.4998,632619.6198,2,0,0,0
33,608875,1,1,758.34815,853,608875,38687130.87,0,0,0,0,853,33,220169.0748,632405.3232,4,0,0,0
34,609073,1,1,156.728,836,609073,5096104.896,0,0,0,0,836,34,220287.9109,632769.2666,1,0,0,0
35,609074,1,1,184.34485,833,609074,3473204.594,0,0,0,0,833,35,220101.2961,632713.6072,1,0,0,0
36,609222,1,1,200.59,856,609222,7872074.627,0,0,0,0,856,36,219992.3446,632150.7667,5,0,0,0
37,609323,1,1,285.9421,851,609323,6361811.294,0,0,0,0,851,37,220337.4487,632104.8073,1,0,0,0
38,609613,1,1,211.82355,836,609613,3443784.87,0,0,0,0,836,38,220519.9604,632695.3212,0,0,0,0
39,609619,1,1,325.861,855,609619,12393862.19,0,0,0,0,855,39,220096.6043,632409.3176,0,0,0,0
40,609628,1,1,132.5196,834,609628,4898189.456,0,0,0,0,834,40,220163.7427,632893.4516,1,0,0,0
41,609649,1,1,260.5649,855,609649,9910377.316,0,0,0,0,855,41,220136.9523,632326.752,5,0,0,0
42,609674,1,1,164.61885,853,609674,5598687.088,0,0,0,0,853,42,220556.8345,632285.8765,2,0,0,0
43,609693,1,1,218.396,836,609693,3550638.447,0,0,0,0,836,43,220602.8447,632688.7486,4,0,0,0
44,609726,1,1,127.6717,832,609726,4683610.88,0,0,0,0,832,44,219955.6997,632969.0993,2,0,0,0
45,609746,1,1,147.49,853,609746,2508067.45,0,0,0,0,853,45,220606.353,632286.8109,3,0,0,0
46,609749,3,1,34.3779,841,609749,0,70597.63393,47493.12439,87698.57905,82782.3336,841,46,220785.6233,632539.4071,5,0,0,0
47,609750,1,1,245.00235,852,609750,8178178.443,0,0,0,0,852,47,220287.4471,632192.3454,5,0,0,0
48,609754,1,1,202.989,854,609754,7985262.16,0,0,0,0,854,48,219907.8983,632326.5817,2,0,0,0
49,609766,1,1,736.3599,855,609766,14003429.57,0,0,0,0,855,49,220144.7487,632141.5185,3,0,0,0
50,611199,1,1,89.53995,826,611199,3048548.84,0,0,0,0,826,50,220664.9182,632981.286,4,0,0,0
51,611235,1,1,1389.70605,855,611235,52856356.76,0,0,0,0,855,51,220079.2167,632166.4005,0,0,0,0
52,611336,1,1,158.1779,834,611336,2923285.77,0,0,0,0,834,52,220068.5083,632828.9533,0,0,0,0
53,611340,1,1,121.8396,832,611340,4469661.453,0,0,0,0,832,53,219954.7234,632993.3383,3,0,0,0
54,611358,1,1,454.33705,855,611358,8640172.936,0,0,0,0,855,54,220212.1413,632350.8908,3,0,0,0
55,611366,1,1,589.1435,853,611366,20036770.43,0,0,0,0,853,55,219914.7498,632620.932,2,0,0,0
56,611371,1,1,147.81605,834,611371,2731788.42,0,0,0,0,834,56,220185.1978,632939.0437,0,0,0,0
57,611383,1,1,97.18605,841,611383,1784598.204,0,0,0,0,841,57,220689.5147,632351.1552,1,0,0,0
58,611392,1,1,224.1811,834,611392,4143090.909,0,0,0,0,834,58,220297.4182,632859.8016,4,0,0,0
59,611397,1,1,125.6828,833,611397,4735929.193,0,0,0,0,833,59,220305.7989,632668.6882,3,0,0,0
60,611439,1,1,155.0263,853,611439,2636222.232,0,0,0,0,853,60,220532.7854,632309.6483,1,0,0,0
61,611490,1,1,1622.72585,855,611490,30859539.13,0,0,0,0,855,61,220204.4054,632282.6396,1,0,0,0
62,611550,1,1,173.4085,832,611550,6361456.276,0,0,0,0,832,62,219916.4228,632811.0236,4,0,0,0
63,611579,1,1,158.112,855,611579,6013663.307,0,0,0,0,855,63,220192.2041,632192.6653,2,0,0,0
64,611596,1,1,585.33215,852,611596,19538387.17,0,0,0,0,852,64,220255.4651,632277.7156,4,0,0,0
65,611615,1,1,98.1151,834,611615,3626530.326,0,0,0,0,834,65,220141.7692,632878.0527,5,0,0,0
66,611618,1,1,562.9599,832,611618,30978107.67,0,0,0,0,832,66,219776.0297,632942.6557,1,0,0,0
67,611630,1,1,248.52795,834,611630,13779135.13,0,0,0,0,834,67,220158.3945,632973.8914,2,0,0,0
68,611644,1,1,209.5725,832,611644,7688125.411,0,0,0,0,832,68,219969.7512,632839.8445,5,0,0,0
69,611709,1,1,130.2685,836,611709,4235758.387,0,0,0,0,836,69,220230.8474,632751.7673,4,0,0,0
70,611743,1,1,192.78765,834,611743,7125817.119,0,0,0,0,834,70,220110.5544,632934.61,0,0,0,0
71,611744,1,1,242.12645,833,611744,9123712.417,0,0,0,0,833,71,220161.4887,632697.8657,1,0,0,0
72,611760,1,1,118.382,835,611760,5705953.209,0,0,0,0,835,72,220425.0175,632857.7772,3,0,0,0
73,611764,1,1,133.2101,834,611764,2461855.858,0,0,0,0,834,73,220185.636,632752.2784,1,0,0,0
74,611769,1,1,115.66485,834,611769,4275204.186,0,0,0,0,834,74,220094.4782,632965.3487,0,0,0,0
75,611779,1,1,125.47995,834,611779,2318994.956,0,0,0,0,834,75,220079.878,632758.85,4,0,0,0
76,611784,1,1,151.59855,836,611784,2464658.876,0,0,0,0,836,76,220556.5476,632646.9653,2,0,0,0
77,611789,1,1,135.5163,856,611789,5318283.199,0,0,0,0,856,77,220017.9998,632135.0948,3,0,0,0
78,611814,1,1,749.92695,836,611814,24384324.44,0,0,0,0,836,78,220346.6189,632646.8577,5,0,0,0
79,611815,1,1,256.72215,834,611815,9488964.108,0,0,0,0,834,79,220039.4998,632772.9255,4,0,0,0
80,611825,1,1,202.53765,836,611825,6585633.133,0,0,0,0,836,80,220789.2337,632675.7237,0,0,0,0
81,611933,1,1,345.96295,834,611933,19181223.84,0,0,0,0,834,81,220060.3634,632764.6731,1,0,0,0
82,611934,1,1,287.98105,832,611934,15846791.17,0,0,0,0,832,82,220000.7719,632872.3563,5,0,0,0
83,611942,1,1,255.1629,833,611942,9614946.732,0,0,0,0,833,83,220004.971,632771.6561,2,0,0,0
84,611949,1,1,817.4915,852,611949,13643933.14,0,0,0,0,852,84,220366.2388,632202.3257,2,0,0,0
85,611992,1,1,369.92185,854,611992,7276066.563,0,0,0,0,854,85,219813.4115,632512.2375,5,0,0,0
86,612183,1,1,65.05795,841,612183,1194639.568,0,0,0,0,841,86,220741.1492,632543.6656,4,0,0,0
87,612184,1,1,52.7333,854,612184,2074443.567,0,0,0,0,854,87,219936.2498,632450.3448,0,0,0,0
88,612216,1,1,78.046,841,612216,2866270.447,0,0,0,0,841,88,220778.4998,632596.2498,4,0,0,0
89,612217,1,1,166.523,854,612217,6550748.124,0,0,0,0,854,89,219919.6599,632355.2758,1,0,0,0
90,612234,1,1,351.6553,836,612234,11434282.94,0,0,0,0,836,90,220636.9799,632537.1227,4,0,0,0
91,612285,1,1,172.95605,832,612285,6344858.238,0,0,0,0,832,91,219968.5209,632857.8475,2,0,0,0
92,612339,1,1,123.74105,834,612339,4573716.69,0,0,0,0,834,92,220107.9525,632914.7142,1,0,0,0
93,612347,1,1,191.7046,833,612347,3611868.178,0,0,0,0,833,93,220245.4998,632608.7498,2,0,0,0
94,612372,1,1,503.75815,854,612372,9908519.411,0,0,0,0,854,94,219845.6959,632385.0014,1,0,0,0
95,612428,1,1,308.392,834,612428,17098177.66,0,0,0,0,834,95,220323.5652,632817.8543,5,0,0,0
96,612622,3,1,42.761,854,612622,0,87812.96777,59074.39058,109084.0028,102968.9239,854,96,219811.1526,632486.1554,1,0,0,0
97,612636,1,1,144.0846,854,612636,2834028.702,0,0,0,0,854,97,219820.233,632477.8007,3,0,0,0
98,612663,1,1,155.45085,834,612663,5745774.318,0,0,0,0,834,98,220356.1622,632983.1976,0,0,0,0
99,612668,1,1,208.3099,851,612668,9269207.12,0,0,0,0,851,99,220217.9448,632084.4048,5,0,0,0
100,612735,1,1,137.216,854,612735,8096786.52,0,0,0,0,854,100,220011.6295,632322.0001,5,0,0,0
101,612736,1,1,945.4152,852,612736,15778979.69,0,0,0,0,852,101,220407.2981,632303.0902,3,0,0,0
102,612747,1,1,361.17775,836,612747,11743911.11,0,0,0,0,836,102,220561.2105,632527.7197,4,0,0,0
103,612788,1,1,443.36385,852,612788,14799485.31,0,0,0,0,852,103,220230.4998,632212.4487,2,0,0,0
104,612806,1,1,195.799,836,612806,3183260.944,0,0,0,0,836,104,220312.2498,632568.5137,0,0,0,0
105,612897,1,1,231.275,836,612897,7520045.3,0,0,0,0,836,105,220409.6498,632613.9648,4,0,0,0
106,612928,1,1,325.381,853,612928,11066207.81,0,0,0,0,853,106,220197.7612,632413.7522,2,0,0,0
107,612949,1,1,315.4054,854,612949,6203771.647,0,0,0,0,854,107,219744.4448,632609.8587,0,0,0,0
108,612958,1,1,113.03645,826,612958,3848529.494,0,0,0,0,826,108,220702.1379,632977.2736,4,0,0,0
109,613011,1,1,169.4234,836,613011,5508903.439,0,0,0,0,836,109,220614.4912,632621.2817,5,0,0,0
110,613021,1,1,103.91755,825,613021,2397232.353,0,0,0,0,825,110,220754.8232,632926.167,2,0,0,0
111,613049,1,1,153.905,834,613049,5688636.61,0,0,0,0,834,111,220169.4922,632826.2863,1,0,0,0
